Frage;Szenario
"Kann ich das FESAD-Feld ""Tags"" dafür nutzen, nicht normierte Deskriptoren zu erfassen?";"Du bist Mediendokumentar und hast die Aufgabe, einen neuen Metadatenstandard für die Erfassung von Medieninhalten in einer zentralen Datenbank zu prüfen. Dabei stößt du auf das Feld ""Tags"" im FESAD-Standard und fragst dich, ob dieses Feld auch für nicht normierte Deskriptoren verwendet werden kann, um die Flexibilität bei der Verschlagwortung zu erhöhen. Um die Entscheidung zu treffen, möchtest du den Chatbot konsultieren."
"Kann ich den Begriff  ""Staubsaugerroboter"" im Feld ""Tags"" erfassen?";"Du arbeitest an der Erfassung eines Videos, das moderne Haushaltsgeräte und deren Funktionen vorstellt. Dabei überlegst du, ob du den Begriff ""Staubsaugerroboter"" im Feld ""Tags"" erfassen darfst, obwohl er möglicherweise nicht zu den normierten Begriffen gehört. Um sicherzustellen, dass deine Erfassung den Standards entspricht und gleichzeitig praktisch ist, fragst du den Chatbot um Rat."
"Wozu ist das Feld ""Status DRA"" da?";"Als Mediendokumentar bist du gerade dabei, die Metadaten eines neuen Medienprodukts zu überprüfen. Dabei fällt dir das Feld ""Status DRA"" auf, dessen genaue Funktion dir nicht klar ist. Du vermutest, dass es etwas mit dem Veröffentlichungsstatus zu tun haben könnte, bist dir aber unsicher. Bevor du die Daten einträgst, möchtest du den Chatbot fragen, wozu dieses Feld konkret verwendet wird."
Gibt es Regeln zur Ansetzung von Mehrteilern Video?;Du arbeitest an der Katalogisierung einer mehrteiligen Dokumentationsreihe und fragst dich, ob es spezifische Regeln für die Erfassung solcher Mehrteiler gibt, um Einheitlichkeit in der Datenbank zu gewährleisten. Insbesondere möchtest du wissen, ob es Richtlinien gibt, wie die einzelnen Teile benannt und miteinander verknüpft werden sollten. Der Chatbot könnte dir hilfreiche Hinweise geben.
"Gibt es Regeln zur Ansetzung der einzelnen Folgen von ""David und Goliath""?";"Du bist gerade dabei, die einzelnen Folgen der Serie ""David und Goliath"" zu katalogisieren. Dabei möchtest du sicherstellen, dass die Benennung und Struktur den Metadatenstandards entspricht. Um Fehler zu vermeiden, fragst du den Chatbot, ob es spezifische Regeln oder Beispiele gibt, wie die Folgen einer Serie korrekt angesetzt werden sollten."
KI als Bildinhalt - wie kennzeichne ich das?;Du bist Mediendokumentar und bearbeitest gerade einen Beitrag, der in FESAD archiviert werden sollen. Eine Sequenz zeigt eine Darstellung, die vollständig von einer KI generiert wurde. Du fragst dich, wie du den KI-Ursprung als Bildinhalt korrekt kennzeichnest, damit dieser Aspekt transparent dokumentiert ist und später eindeutig recherchierbar bleibt. Um sicherzugehen, suchst du Rat beim Chatbot.
Wie geht man mit Titeln in OpenMedia (Kürzel aus dem Redaktionsalltag) um, wenn die aus dokumentarischer Sicht unzureichend sind?;Du bearbeitest Beiträge, die aus einem Redaktionssystem (OpenMedia) stammen. Viele Titel enthalten Abkürzungen und Kürzel, die im dokumentarischen Kontext unklar und nicht aussagekräftig genug für eine präzise Erfassung sind. Du überlegst, wie du diese Titel anpassen oder ergänzen kannst, ohne dabei die redaktionelle Bedeutung zu verfälschen. Um die richtige Vorgehensweise zu finden, fragst du den Chatbot um Hilfe.
"Wie gehe ich mit dem Titel ""AB CB Diamonds Dillingen Pokal-Finale kurz"" aus OpenMedia um?";"Du stößt bei der Erfassung eines Beitrags auf den Titel ""AB CB Diamonds Dillingen Pokal-Finale kurz"", der direkt aus dem Redaktionssystem übernommen wurde. Der Titel ist aus dokumentarischer Sicht unzureichend und enthält Abkürzungen, die nicht selbsterklärend sind. Du fragst dich, wie du den Titel sinnvoll anpassen kannst, um ihn für die Archivierung und spätere Recherche verständlich und nutzbar zu machen. Der Chatbot könnte dir dabei helfen."
Wie gehe ich mit Beiträgen um, die in verschiedenen Sendungen gezeigt werden?;Du katalogisierst gerade einen Beitrag, der in mehreren unterschiedlichen Sendungen ausgestrahlt wurde. Du bist dir unsicher, wie du die Metadaten strukturieren sollst, um die Mehrfachverwendung korrekt zu dokumentieren und die Verbindung zu den jeweiligen Sendungen herzustellen. Um die beste Vorgehensweise herauszufinden, möchtest du den Chatbot konsultieren.
Beim USA-Russland-Gipfel haben sich Trump und Putin in Alaska getroffen. Welche Geographika soll ich erfassen?;"Du bist dabei, einen Beitrag über ein Treffen zwischen Trump und Putin beim USA-Russland-Gipfel in Alaska zu erschließen. Du fragst dich, welche geografischen Informationen in den Metadaten erfasst werden sollten – ob nur ""Alaska"" als Bundesstaat, der genaue Ort des Treffens oder weitere geografische Bezüge wie die Länder der beiden Staatsführer. Um sicherzustellen, dass alle relevanten Informationen korrekt dokumentiert sind, fragst du den Chatbot um Rat."
Welche Ideen für eine REM-gerechte nachträgliche Vergabe von sogenannten creationBRIDs - einer eindeutigen ID für jede Videokreation - hast du? Also in Bezug auf eine Sendungs- Beitragslogik, aber auch in bezug auf Schnittversionen, Adaptionen und Wiederholungen.;
Welche Ausdrücke für Kameraeinstellungen im Videobereich sind REM-konform?;LOREM IPSUM BLA BLA BLA
"Ist der Ausdruck ""Froschperspektive"" REM-konform?";LOREM IPSUM BLA BLA BLA
"Ist der Ausdruck ""Seitenansicht"" REM-konform?";LOREM IPSUM BLA BLA BLA
"Ist der Ausdruck ""Ansicht von unten"" REM-konform?";LOREM IPSUM BLA BLA BLA
 Was ist REM??;LOREM IPSUM BLA BLA BLA
"Was bedeutet das Häkchen bei ""Audiokreation vollständig""?";LOREM IPSUM BLA BLA BLA
Was ist der Unterschied zwischen Kostenträger und Kostenstelle?;LOREM IPSUM BLA BLA BLA
Wie nennt sich die Funktion einer Person, die einen Beitrag einleitet, die aber kein typischer Moderator ist?;LOREM IPSUM BLA BLA BLA
Ich möchte den Mitschnitt aus einem Audiostream archivieren. Dieser wurde teilweise in einem Beitrag verwendet. Worauf muss ich achten?;LOREM IPSUM BLA BLA BLA
Wenn mehrere Stücke innerhalb eines Beitrags so ineinander übergehen, dass keine Timecodes zu ermitteln sind, die ich notieren könnte, was mache ich dann?;LOREM IPSUM BLA BLA BLA
Ich habe ein Werk, das Teil eines Mehrteilers ist. Wie wird das erfasst?;LOREM IPSUM BLA BLA BLA
"Welche RFA ist im Block ""Bereitstellung"" zu erfassen - die federführende Anstalt oder die publizierende Anstalt?";LOREM IPSUM BLA BLA BLA
Wo kann ich den Videobezug oder den Bezug zum Film oder den Regisseur anlegen?;LOREM IPSUM BLA BLA BLA
Wie erfasse ich einen O-Ton in einem Radio-Beitrag?;LOREM IPSUM BLA BLA BLA
Wie sollte ein Deepfake (Audio) erfasst werden?;LOREM IPSUM BLA BLA BLA
